№,Название,Отрасль,Краткое описание специфики деятельности,Дата создания,Контактная информация,Офисы (адрес/тел.),web-контакты (сайт/блог/твиттер),Учредители,Кол-во сотрудников,Управляющая команда (ФИО руководителей),Финансовые показатели за прошлые периоды (чистая прибыль),Финансирование в компанию (кто/когда/сколько) - этапы и суммы инвестиций,Поглощения других компаний (кого/когда/сколько),Инвестиции от имени компании в другие проекты (куда/когда/сколько),Exit (IPO) (где/когда/объявленная стоимость/капитализация),Котировки акций,Куплена (кем/когда/сколько),Созданные продукты,Поставщики услуг,Конкуренты,Опыт взаимодействия с институтами развития,"Участие в конкурсах, премиях",Участие в акселераторах,Потребность в инвестициях (в диапазонах),
26,"ООО ""Спутниковые инновационные космические системы""",Сервисные и прочие инновационные технологии,"Создание инновационного центра по разработке, изготовлению и наземным испытаниям перспективных элементов и систем для малых космических аппаратов (МКА)",Октябрь 2011 г.,," 142784, Московская Область, Ленинский Район, Румянцево Деревня, стр.1, Телефон:  +7 (499) 7397385",www.sputnix.ru,"ООО ИТЦ ""СКАНЭКС"" ",12,"Потапов Андрей Владимирович - генеральный директор
Владимир Гершензон - руководитель проекта
Станислав Карпенко - технический директор, заместитель генерального директора
Алексей Халезов - ведущий инженер
Никита Ивлев - ведущий инженер
Светлана Пивторацкая - программист
Александр Попов - инженер
Антон Сивков - инженер-программист
Мадина Ужахова - инвестиционный менеджер
Антон Власкин - инженер-программист
Игорь Нечепуренко - инженер
Павел Черепанов - инженер-программист",Нет данных,"Грант Сколково - 29,5 млн. рублей (грантовое соглашение № 83 от 15.08.2012)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Приложение для численного моделирования Scanex Satellite Simulator
Звездный датчик
Цифровой солнечный датчик
Камера для дистанционного зондирования Земли
Система передачи изображения
Система ориентации микроспутника
Стенд полунатурного моделирования ",,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,"Резидент Технопарка ""Сколково""",Потребность в инвестициях: 120-140 млн. рублей (до 2015 года),
27,"ООО ""Центр экспертных технологий МГУ имени М.В. Ломоносова""",Промышленные технологии,"Экспериментальная апробация в условиях, приближенных к модели ГПВРД, плазменного метода быстрого воспламенения сверхзвуковых воздушно-углеводородных потоков",Июль 2011 г. ,"
E-mail: extech@gmail.com","119992, г. Москва, ул. Ленинские Горы, д. 1, стр. 75, Телефон:  +7 (916) 2729441
Тел./факс.: +7 (495) 939-13-13
Фактический адрес: Москва, Ленинские горы, д.1, к.2, Ц-51",centerextech.ru ,"Медведев Михаил Владимирович, МГУ им. М.В.Л., Союз НИС, Корнилова Альбина Александровна, Корнилов Геннадий Александрович, Лобанов Николай Николаевич, Дьяченко Олег Георгиевич",н/д,Корнилова Альбина Александровна - генеральный директор,Нет данных,"Грант Сколково - 3,5 млн. рублей (грантовое соглашение № 4-КТИТ от 24.04.2012)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Основные проводимые Центром профессиональные экспертизы:
1. Научно-техническая и технологическая экспертиза
2. Экспертиза материалов, веществ и изделий из них
3. Экономическая экспертиза
4. Юридическая экспертиза
Подробнее: http://centerextech.ru/wp-content/uploads/2011/09/broshura_210x297_4-4_12_preview.pdf",МГУ им. М.В. Ломоносова,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
28,"ООО ""РобоСиВи""",ИКТ,"Универсальный интегрированный программно-аппаратный комплекс автономной навигации для роботизированных систем, использующий ГЛОНАСС, техническое зрение и БИНС",январь 2012 г. ,"E-mail: info@robocv.ru​
Сергей Мальцев:
E-mail: maltsev@robocv.ru
Телефон: +7 (903) 544-39-93
Сергей Седых:
E-mail: s.sedykh@robocv.ru
Телефон: +7 (903) 243-02-62","117570, г. Москва, ул. Красного Маяка, д. 20, корп. 2, кв. 108
Фактический адрес: 143025, Россия, Московская область, Сколково, ул. Новая, д. 100, Бизнес-центр «Урал»
Телефон: ​+7 (495) 280-00-01 доб. (5100)",www.robocv.ru,"Бродин Евгений Викторович, Седых Сергей Юрьевич, Мальцев Сергей Владимирович, Шаров Павел Сергеевич",н/д,"Мальцев Сергей Владимирович - генеральный директор
​Бродин Евгений Викторович - технический директор
Седых Сергей Юрьевич - коммерческий директор",Нет данных,Грант Сколково - 5 млн. рублей (грантовое соглашение № 8-КТИТ от 28.06.2012),Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,Компания разрабатывает универсальный навигационный комплекс - «автопилот для транспортных роботов»,,"Trimble, Caterpillar, Hexagon, TRW, Novatel, Topcon, Leika Geosystems, Jaybridge Robotics","Резидент Сколково
Получатель гранта Фонда ""Сколково""",,"Резидент Технопарка ""Сколково""",Потребность в инвестициях: 10-40 млн. рублей,
29,"ООО ""Центр инновационного развития СТМ""",Промышленные технологии,Гибридные локомотивы,Декабрь 2010 г.,E-mail: ZubikhinAV@sinara-group.com ,"Офис в Москве:
105062, г. Москва, Подсосенский переулок, дом 20, стр. 1
Телефон: +7 (495) 775-76-00 (вн. 2746)
Офис в Екатеринбурге:
620026, г. Екатеринбург, ул.Розы Люксембург, 51
Телефон: +7 (343) 310-33-00, +7 (343) 310-33-55
Факс: +7 (343) 310-33-01",http://sinara-group.com/about/structure/stm/CIR_STM/,"ОАОЛ ""СТМ"", ЗАО ""Группа Синара""",70,"Зубихин Антон Владимирович - генеральный директор
Евгений Федоров - главный конструктор
Вадим Малахов - руководитель испытаний, заместитель главного конструктора по механической части
Алексей Тарасов - заместитель главного конструктора по механической части
Александр Сачков - начальник бюро - ведущий конструктор
Алексей Дубинин - эксперт, аналитик",Нет данных,"Грант Сколково - 35 млн. рублей (грантовое соглашение № 6 от 27.12.2010)
Грант Сколково - 20,6 млн. рублей (грантовое соглашение № 70 от 29.06.2012)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Локомотив с гибридным приводом SynaraHybrid (разработана конструкторская документация)
Энергетическая установка ЭУ-500 (выполнено проектирование)
Маневровый тепловоз ТЭМ14 (проведены НИОКР)","MIT
ООО «Лиотех»","Railpower Technologies (Канада)
General Electric (США)
Hitachi (Япония)
Niigata Transys (Япония)","Резидент Сколково
Получатель гранта Фонда ""Сколково""","Награда Технопарка ""Сколково"" в номинации ""Человеческий ресурс: Команда и успех бизнеса""",Не участвовали,Потребность в инвестициях: 41.63 млн. рублей,
30,"ООО ""Литий-ионные технологии при ФТИ им. А.Ф. Иоффе""",Промышленные технологии,Новые технологии и наноматериалы для литий-ионных аккумуляторов с высокой удельной энергоемкостью и мощностью,Декабрь 2010 г.,,"194064, г. Санкт-Петербург, ул. Политихническая, д. 28.",,"ООО ""Мегаимпульс""",н/д,Жданов Василий Валериевич - генеральный директор,Нет данных,"Грант Сколково - 1,5 млн. рублей (грантовое соглашение № 15 от 20.05.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
31,"ЗАО ""ЭЛТОН""",Промышленные технологии,Создание инновационного производства асимметричных электрохимических конденсаторов с водными электролитами – нового поколения химических источников тока с большим циклическим ресурсом для решения задач повышения энергоэффективности,Ноябрь 2002 г. ,"По вопросам продаж и техническим вопросам:
E-mail: sales@elton-cap.com
По вопросам связи с общественностью
и представителями СМИ:
Владимир Зеленцов
Телефон: +7 (965) 249-97-26
E-mail: v.zelentsov@elton-cap.com","142190, Московская Область, г. Троицк ,ул. Физическая , д. 11, Телефон:  +7 (946) 7510457 , Факс: +7 (496) 7510182",www.elton-cap.ru,"ЗАО ""Эллит Холдинг"", Варакин Игорь Николаевич, Менухов Владимир Васильевич, Степанов Алексей Борисович",20,Литвиненко Сергей Витальевич - генеральный директор,67 745 тыс. руб.,"Грант Сколково - 245,9 млн. рублей (грантовое соглашение № 12 от 19.05.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,Электрохимические конденсаторы,"Химический факультет МГУ
Coatema (Германия)",,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Резидент Троицкого Технопарка ФИАН (производственная площадка компании),Инвестиции не привлекаются,
32,"ООО ""Оптифлейм солюшенз""",Экологически чистые технологии,Ветрогенератор,Май 2008 г.,,"194044, г. Санкт-Петербург, Б. Сампсониевский пр-кт, д. 60, литер У, Телефон:  +7 (906) 2638185",,"Канин Владимир Валерьевич, Дудников Сергей Юрьевич",н/д,"Дудников Сергей Юрьевич - генеральный директор
Канин Владимир Валерьевич - руководитель проекта",(-) 880 тыс. руб. ,"Грант Сколково - 9,9 млн. рублей (грантовое соглашение № 11 от 21.04.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Резидент бизнес-инкубатора Science Center в Филадельфии,Инвестиции не привлекаются,
33,"ООО ""Инновационная компания ""МЕТАКОН""",Промышленные технологии,Создание энергохимического комплекса утилизации попутного нефтяного газ в местах нефтедобычи при переработке ПНГ в метан для использования в энергоснабжении близлежащих муниципальных образований,Декабрь 2010 г.,,"625003, г. Тюмень, ул. Республики, д. 5а, Телефон:  +7 (905) 8237680 ",,"Козодоев Леонид Васильевич, Зинович Полина Степановна, Макарова Татьяна Викторовна, Кириллов Валерий Александрович, Кузин Николай Алексеевич, Собянин Владимир Александрович, Снытников Павел Валерьевич, Киреенков Виктор Викторович, Полянская Татьяна Викторовна, Койнов Вадим Михайлович",н/д,Койнов Вадим Михайлович - генеральный директор,(-) 1 тыс. руб. ,"Грант Сколково - 0,1 млн. рублей (грантовое соглашение № 9/ЭЭТ от 21.12.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Резидент Технопарка высоких технологий ХМАО-Югры,Инвестиции не привлекаются,
34,"ООО ""Гидромаш Экология""",Экологически чистые технологии,Очистка сточных вод,Июнь 2009 г. ,E-mail: info@gidroeco.com,"603003, г. Нижний Новгород, ул. Свободы, д. 63, оф.440, Телефон:  +7 (920) 508920
Телефон в Москве: +7 (495) 943-94-69",www.hydroeco.ru,Сидоров Сергей Михайлович,н/д,"Сидоров Сергей Михайлович - генеральный директор
Солоницын Вячеслав Сергеевич - заместитель директора по развитию
Литвинов Сергей Валентинович - менеджер проекта
Керин Александр Сергеевич - научный консультант
Орлов Сергей Геннадьевич - аналитик
Яворский Вячеслав Олегович - представитель в КНР
Тох Хиан Конг - директор представительства в Сингапуре",Нет данных,"Грант Сколково - 1,7 млн. рублей (грантовое соглашение № 2/ЭЭТ от 28.09.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,Компания разрабатывает технологию гидродинамической обработки осадков сточных вод,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
35,"ООО ""Новые Кремневые Технологии""",Промышленные технологии,Сборка низкодефектных монокристаллических слоев карбида кремния на кремневых пластинах и создание на их основе новых материалов и гетероструктур для микро - и оптоэлектроники.,Август 2008 г. ,,"195027, г. Санкт-Петербург, ул. Магнитогорская, д.51, лит.З",,"ООО ""Рубикон"", Лукьянов Андрей Витальевич",н/д,Лукьянов Андрей Витальевич - генеральный директор,Нет данных,"Грант Сколково - 23,8 млн. рублей (грантовое соглашение № 23 от 15.07.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
36,"ООО ""Лаборатория Кьюмодуль""",Экологически чистые технологии,Безбатареечная электроника,Февраль 2011 г.,E-mail: mail@qmodule.ru,"Почтовый адрес:
125493, Москва ул. Пулковская дом 4/3-22
Юридический адрес:
124460, Москва-Зеленоград, корп.1133-159
Телефон: +7 (499) 502-13-14
Qmodule Inc. – партнер-представительство в США",www.qmodule.ru,Нунупаров Мартын Сергеевич,н/д,"Нунупаров Мартын Сергеевич – основатель и генеральный директор
Панчишин Виталий Владимирович – заведующий отделом электроники
Хотемлянский Павел Олегович – инженер электронщик, программист
Высокоостровский Алексей Владимирович – инженер механик",Нет данных,"Грант Сколково - 1,5 млн. рублей (грантовое соглашение № 5/ЭЭТ от 31.10.2011)
В компанию инвестировал Октай Сафар-Заде – бизнес-ангел",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Qconverters – линейка OEM-модулей энергетических харвестеров
Безбатареечные радиопередатчики для систем «Умный дом»
Безбатареечные датчики для рынка промышленной автоматики
Полностью автономные безбатареечные электронные замки и пломбы ","ООО ОМСАР – партнер по производству
ИОФ РАН – партнер по научным исследованиям",,"Резидент Сколково
Получатель гранта Фонда ""Сколково""","Специальный приз зрительских симпатий IBTEC (2007)
Призер национального конкурса БИТ-2007
Облладатель Гран-при III Конкурса Русских Инноваций (2004)
1996 - 1999: дипломы и медали Салона Brussels – Eureka (Belgium)",Не участвовали,Потребность в инвестициях: 30 млн. рублей,
37,"ООО ""Газохим Техно""",Промышленные технологии,Создание комплексной установки переработки природных/попутных углеводородных газов в синтетические жидкие углеводороды по технологии Мини-GTL,Февраль 2011 г.,"E-mail: d.pchelintsev@ngt-m.ru
Сергей Долинский:
Телефон: +7 (903) 113-81-97","119146, г. Москва, наб. Фрунзенская, д. 16, корп. 1, офис 44
Телефон: + 7 (495) 663-39-00
Факс: + 7 (495) 663-39-01","www.ngt-m.ru
https://twitter.com/mini_GTL",ТИАНОВАР ЛИМИТЕД,10,"Долинский Сергей Эрикович - генеральный директор
Владислав Лукшо - ведущий разработчик, заместитель генерального директора
Николай Усачев - научный консультант
Денис Пчелицев - директор по развитию
Сергей Медведев - финансовый директор
Анна-Ли Тонкович - главный технолог",(-) 761 тыс. руб.,"Грант Сколково - 150 млн. рублей (грантовое соглашение № 60 от 30.01.2012)
Грант Сколково - 0,1 млн. рублей (грантовое соглашение № 14/ЭЭТ от 26.12.2011)
Грант Сколково - 1,4 млн. рублей (грантовое соглашение № 1/ЭЭТ от 21.09.2011)
2011: инвестиции BSTRB Holding Company
Инвестиционная поддержка:
Роснефть (создание СП)
Частные инвесторы
Соглашение об основных принципах финансирования проекта с ОАО ""РОСНАНО"" - подразумевает инвестиции в размере 40M $",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,Технология порциального воздушнокаталитического окисления синтез-газа GazohimPOX,"Международные партнеры:
Oxford Catalyst Group PLC, Velosys Inc., University of Oxford, Wolfson Catalysis Center
Российские партнеры:
ЛУКОЙЛ, Роснефть, РГУ Нефти и газа им. Губкина, ИОХ РАН им. Н.Д.Зелинского, ФГУП НЦ НАМИ","Gas Technologies LLC (США)
HyGear B.V. (Нидерланды)","Резидент Сколково
Получатель гранта Фонда ""Сколково""
Соглашение с РОСНАНО","Проект особо отмечен экспертами конкурса инновационных проектов для нефтегазового сектора Фонда ""Сколково""",Не участвовали,Потребность в инвестициях: 110 млн. рублей (1 этап),
38,"ООО ""Оптоган. Новые технологии света""",Промышленные технологии,"Светодиодные чипы, светодиоды, осветительные приборы на их основе",Март 2011 г. ,"E-mail: nts@optogan.com
Для прессы: Optogan@prp.ru","Оптоган:
198205, г. Санкт-Петербург, д. Старо-Паново, Таллинское шоссе, д. 206, Телефон:  +7 (812) 3263285, Факс: +7 (812) 3265789
Дочерняя компания:
Адрес: 191015 г. Санкт-Петербург,
Калужский переулок, д.3
Телефон: +7 812 406 80 67
Пресс-служба:  +7 (909) 696 50 06
Анна Шатилова","www.optogan.com; www.optogan.ru
http://nts.optogan.ru/","ЗАО ""Оптоган""",н/д,"Ким Борис Юрьевич - генеральный директор
Бугров Владислав Евгеньевич - исполнительный вице-президент материнской компании
Романов Алексей Евгеньевич - главный научный сотрудник материнской компании",Нет данных,"Грант Сколково - 148,2 млн. рублей (грантовое соглашение № 29 от 29.09.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Светодиодный модуль Optogan Х10
Компания развивает направление интегрированных решений: совершенствуется технология Chip-on-board, ведется разработка светодиодного драйвера и интеллектуальных систем освещения, модифицируются конструкторские решения продукции компании «Оптоган»","Партнеры по исследованиям:
НИУ ИТМО, ФТИ им. А.Ф. Иоффе РАН, НИЯУ «МИФИ», Университет Aalto (Финляндия), Эстонский центр развития нанотехнологий (Тарту, Эстония)
Поставщики комплектующих: Cree, Semiled","ЗАО «Светлана-Оптоэлектроника», Nichia (Япония), Cree (США), Philips (Нидерланды), Osram (Германия)","Резидент Сколково
Получатель гранта Фонда ""Сколково""",Не участвовали,Не участвовали,Инвестиции не привлекаются,
39,"ООО ""Газпроект-диагностика""",Промышленные технологии,Создание и внедрение опытного образца телеуправляемого диагностического комплекса для проведения внутритрубной диагностики тепловых сетей,Ноябрь 2007 г. ,,"195274, г. Санкт-Петербуг, ул. Учительская, д.2",www.gazproekt.spb.ru,"ЗАО ""КТПИ Газпроект""",н/д,Беляев Станислав Александрович - генеральный директор,258  тыс. руб. ,"Грант Сколково - 27,8 млн. рублей (грантовое соглашение № 28 от 29.08.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
40,"ООО ""Объединенная Компания РУСАЛ Инженерно-технологический центр""",Промышленные технологии,Инертные электроды для получения алюминия,Октябрь 2007 г.,,"660111, г. Красноярск, ул. Пограничников, д. 37, стр. 1",,"Компания ""ЮНАЙТЕД КОМПАНИ РУСАЛ ИНЖИНИРИНГ ДЕВЕЛОПМЕНТ ЛИМИТЕД"" (UNITED COMPANY RUSAL ENGENEERING DEVELOPMENT)(Кипр), ОАО ""Русал""",н/д,Макаров Дмитрий Николаевич - генеральный директор,54 741 тыс. руб.,"Грант Сколково - 128,6 млн. рублей (грантовое соглашение № 35 от 10.09.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,Химический факультет МГУ,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
41,"ООО ""НБС БиоЛаб""",Живые системы,Испытания и анализ биотехнологичаских базовых химических веществ,Март 2011 г. ,,"119002, г. Москва, пер. Сивцев Вражек, д. 29/16",,"Nordbiochtm TOO /Нордбиохим (Эстония), Яценко Андрей Михайлович",20,Яценко Андрей Михайлович - генеральный директор,1 235 тыс. руб. ,Грант Сколково - 30 млн. рублей (грантовое соглашение № 32 от 01.09.2011),Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,"Потребность в инвестициях:
Первый этап - 10 млн. евро (элеватор и пусковой модуль на 6 тыс. тонн)
Второй этап - 170 млн. евро (пусковой модуль на 300 тыс. тонн)",
42,"ООО ""РРТ""",Промышленные технологии,Гидроизомеризация бензол содержащей фракции в колонне реакционно-ректификационного типа,Декабрь 2010 г.,,"190013,г. Санкт-Петербург, ул. Серпуховская, д.10, литер А",www.globalrrt.com,"РРТ ГЛОБАЛ, ИНК.",Более 20,"Дуглас Харрис - генеральный директор глобальной компании
Олег Парпуц - технический директор глобальной компании
Гиязов Олег Валерьевич - генеральный директор
Адаш Трипати - директор представительства в Индии
Дмирий Шалупкин",Нет данных,"Грант Сколково - 29,4 млн. рублей (грантовое соглашение № 34 от 10.09.2011)
2011: инвестиции Foresight Ventures - 10 млн. рублей (330K USD)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
43,"ООО ""Перспективные магнитные технологии и консультации""",Промышленные технологии,Магнитная тепловая машина,Февраль 2003 г. ,,"142191, г. Москва, г. Троицк, ул. Промышленная, д. 4, Телефон:  +7 (495) 7777226","www.ndfeb.ru
www.amtc.ru","Частная компания с ограниченной ответственностью ""Эй Эм Ти энд Си ГРУП ЛТД."" (Великобритания), Спичкин Юрий Иванович, Копелиович Дмитрий Бенедиктович",100,"Тишин Александр Метталинович - генеральный директор
Печарский Виталий - заместитель руководителя проекта
Спичкин Юрий Иванович - первый заместитель генерального директора",(-) 5 656 тыс. руб.,"Грант Сколково - 1,4 млн. рублей (грантовое соглашение № 6/ЭЭТ от 31.10.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Потребность в инвестициях: 30 млн. рублей,
44,"ООО ""Савант Рисерч энд Девелопмент""",Промышленные технологии,Разработка технического комплекса для обработки системы отопления здания методом микродозирования в теплоноситель реагентов на основе пленкообразующих высокомолекулярных аминов ( ВМА) с целью промывки и ингибирования в едином производственном цикле.,Февраль 2011 г. ,,"121165, г. Москва, ул. Студенческая, д. 33, стр. 14","Сайт: http://s-avant.ru/
Facebook: https://www.facebook.com/pages/Savant-RD/433028580063203
Twitter: https://twitter.com/SavantRD
LiveJournal: savant-energy.livejournal.com","ООО ""Севант"", Куличихин Валерий Григорьевич, Траскин Владимир Юрьевич, Скворцова Зоя Николаевна, Громова Марина Валерьевна",н/д,"Блейер Анна Юрьевна - генеральный директор
Печкин Александр Иванович - исполнительный директор
Худяков Станислав Викторович - маркетолог
Блейер Сергей Юрьевич - менеджер региональных проектов",(-)3 409 тыс. руб. ,"Грант Сколково - 21,5 млн. рублей (грантовое соглашение № 54 от 16.01.2012)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,Химический факультет МГУ,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
45,"ЗАО ""КД Технолоджи""",Промышленные технологии,Сетевая Пневматическая Волновая Электростанция Wave Network,Февраль 2008 г. ,,"111033, г. Москва, ул. Золоторожский Вал, д. 32, корп. 2, кв. 306",www.vertlabs.org,"Дмитриев Олег Геннадьевич, Коньшина Елена Борисовна",7,"Дмитриев Олег Геннадьевич - генеральный директор
Евгений Табота - ведущий разработчик
Реймонд Алкорн - эксперт по альтернативной эненргетике (специализация - энергия морских волн)
Эльвира Дмитриева - директор по разработке
Артур Миронов - инженер",(-)198 тыс. руб. ,"Грант Сколково - 1 млн. рублей (грантовое соглашение № 5-29-с от 29.05.2012)
Грант Сколково - 3,6 млн. рублей (грантовое соглашение № 45 от 14.11.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,"Тестирование технологии: Hydraulics and Maritime Research Centre, University College Cork",,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
46,"ООО ""Современные технологии ресурсосбережения""",ИКТ,Разработка технических и программных средств для создания систем централизованного мониторинга производства и потребления энергоресурсов на территориях в режиме реального времени,Май 2005 г. ,,"141080, Московская область, г. Королев, ул. Стадионная, д. 7, Телефон:  +7 (498) 7156260, Факс: +7 (495) 7452323",,"Сурнов Сергей Иванович, Бычковский Игорь Анатольевич",н/д,"Сурнов Сергей Иванович - генеральный директор
Сурнов Григорий Сергеевич - заместитель генерального директора
Бычковский Игорь Анатольевич - ведущий конструктор
Кадощук Игорь Тарасович - директор по информационным технологиям
Смирнов Евгений Владимирович - технический директор
Константин Водопьянов - косультант",Нет данных,"Грант Сколково - 1,6 млн. рублей (грантовое соглашение № 3/ЭЭТ от 28.10.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,"Система контроля и учета энергоресурсов ""Пульсар""
Программно-технический комплекс «Смартэнергокипер»","Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,"Потребность в инвестициях: 45,76 млн. рублей",
47,"ООО ""ФМ Лаб""",Промышленные технологии,Литий-воздушные аккумуляторы сверхвысокой емкости для мобильных приложений и автотранспорта,Апрель 2011 г. ,,"124498, г. Москва, г. Зеленоград, пр. 4806-й, д. 6",,"Иткис Даниил Михайлович, Шабратов Денис Владимирович, Mikromasch Eesti OU (Эстония)",н/д,Шабратов Денис Владимирович - генеральный директор,Нет данных,"Грант Сколково - 29,4 млн. рублей (грантовое соглашение № 33 от 01.09.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
48,"ООО ""Универсальная энергия""",Промышленные технологии,Получение из местных топлив искусственного газа энергетического и технологического назначения,Август 2011 г. ,,"620075, г. Екатеринбург, ул. Красноармейская, д. 10, Телефон:  +7 (343) 3759314",,"ФГАОУ ВПО УрФУ им. 1-го Пр-та РФ Б.Н.Ельцина, Богатова Татьяна Феоктистовна, Силин Вадим Евгеньевич, Попов Александр Владимирович, Загрутдинов Равиль Шайхутдинович, Рыжков Александр Филиппович, Негуторов Владимир Николаевич, Бусоргин Владимир Алексеевич, Шульман Владимир Львович",н/д,"Бусоргин Владимир Алексеевич - генеральный директор
Рыжков Александр Филиппович - научный руководитель проекта",Нет данных,"Грант Сколково - 1,5 млн. рублей (грантовое соглашение № 7/ЭЭТ от 02.11.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
49,"ООО ""Мобикс чип""",ИКТ,"Коммерциализация результатов исследований и разработок по созданию микрочипа «Манта» для инфраструктуры снятия показаний (AMI) в сферах электро-, газо- и водоснабжения",Март 2011 г. ,,"125009, г. Москва, ул. Большая Никитская, д. 12-12А/1, стр. 1",www.mobixchip.ru,"Частная компания с ограниченной ответственностью ""Мобикс - Вайрлесс Солюшнз Лтд"", ЗАО УК Инновационные решения",н/д,"Бухман Александр - генеральный директор
Ицхак Хемли - член Совета директоров, основатель
Владимир Кропылев - ведущий инженер по программному обеспечению
Александр Максютов - менеджер проекта по техническим вопросам
Шмулик Писанти - менеджер проекта по разработке",Нет данных,"Грант Сколково - 61,7 млн. рублей (грантовое соглашение № 47 от 15.12.2011)
Май 2011: инвестиции Tamir Fishman CIG (5,7 миллионов долларов США)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,"Партнеры по пилотным проектам:
IDGC Holding
Оборонэнерго
Российское энергетическое агентство
Тестирование технологии: FCC, CE
",,"Резидент Сколково
Получатель гранта Фонда ""Сколково""
Потрфельная компания фонда Tamir Fishman CIG",,Не участвовали,Инвестиции не привлекаются,
50,"ООО ""Литион""",Промышленные технологии,Литий-металл-полимерные аккумуляторы для электроинструмента и портативных электроприборов с высоким энергопотреблением,Февраль 2011 г. ,,"141981, Московская область, г. Дубна, ул. Энтузиастов, д. 3, кв. 74, Телефон:  +7 (8910) 4791343",www.lition.ru ,"Рац Никита Александрович, Иткис Даниил Михайлович, Шабратов Денис Владимирович",н/д,Рац Никита Александрович - генеральный директор,Нет данных,"Грант Сколково - 0,2 млн. рублей (грантовое соглашение № 8/ЭЭТ от 21.12.2011)",Нет,Нет,Не котируется на бирже,Не котируется на бирже,Не приобреталась,,,,"Резидент Сколково
Получатель гранта Фонда ""Сколково""",,Не участвовали,Инвестиции не привлекаются,
